iter	Passed	Remaining
304	44867	102238
305	45005	102070
306	45160	101941
307	45266	101703
308	45374	101468
309	45551	101388
310	45722	101296
311	45814	101026
312	45958	100873
313	46110	100737
314	46270	100619
315	46367	100365
316	46465	100113
317	46601	99943
318	46765	99834
319	46844	99544
320	46935	99280
321	47086	99144
322	47237	99008
323	47409	98915
324	47508	98671
325	47616	98445
326	47779	98334
327	47884	98104
328	48030	97959
329	48129	97717
330	48310	97643
331	48406	97395
332	48548	97242
333	48711	97130
334	48858	96987
335	49029	96890
336	49171	96737
337	49341	96638
338	49492	96503
339	49629	96339
340	49772	96188
341	49879	95966
342	49970	95715
343	50070	95482
344	50225	95356
345	50374	95217
346	50547	95121
347	50711	95010
348	50883	94914
349	51069	94843
350	51236	94737
351	51390	94605
352	51536	94459
353	51669	94289
354	51813	94140
355	51977	94026
356	52132	93896
357	52280	93755
358	52465	93677
359	52628	93561
360	52792	93446
361	52948	93317
362	53103	93186
363	53219	92987
364	53349	92813
365	53511	92694
366	53599	92448
367	53747	92305
368	53899	92169
369	54058	92045
370	54150	91807
371	54289	91649
372	54369	91393
373	54460	91155
374	54615	91025
375	54783	90917
376	54919	90756
377	55048	90582
378	55218	90476
379	55391	90376
380	55488	90151
381	55637	90011
382	55793	89880
383	55946	89746
384	56077	89578
385	56225	89436
386	56396	89330
387	56544	89189
388	56698	89055
389	56836	88898
390	56975	88742
391	57068	88513
392	57224	88384
393	57320	88162
394	57450	87994
395	57619	87883
396	57779	87760
397	57940	87639
398	58104	87521
399	58282	87423
400	58434	87287
401	58624	87207
402	58762	87050
403	58921	86923
404	59094	86818
405	59250	86686
406	59408	86557
407	59581	86451
408	59733	86314
409	59924	86233
410	60074	86092
411	60237	85969
412	60379	85818
413	60558	85718
414	60693	85556
415	60857	85434
416	60951	85215
417	61120	85100
418	61265	84953
419	61433	84836
420	61597	84714
421	61734	84555
422	61907	84445
423	62068	84319
424	62229	84193
425	62386	84061
426	62575	83971
427	62715	83816
428	62894	83712
429	63017	83534
430	63178	83407
431	63333	83272
432	63515	83170
433	63647	83005
434	63747	82798
435	63885	82640
436	64045	82512
437	64157	82320
438	64299	82168
439	64444	82020
440	64561	81836
441	64711	81694
442	64868	81562
443	65022	81424
444	65156	81263
445	65319	81137
446	65448	80968
447	65577	80801
448	65721	80651
449	65876	80516
450	66020	80366
451	66115	80157
452	66257	80005
453	66350	79796
454	66525	79684
455	66681	79550
456	66784	79352
457	66912	79184
458	67050	79028
459	67200	78888
460	67329	78721
461	67459	78557
462	67545	78341
463	67641	78137
464	67721	77916
465	67860	77762
466	68007	77618
467	68138	77456
468	68284	77311
469	68428	77163
470	68559	77002
471	68716	76869
472	68848	76708
473	69009	76580
474	69114	76389
475	69271	76256
476	69461	76159
477	69623	76032
478	69790	75910
479	69937	75765
480	70082	75619
481	70234	75480
482	70367	75320
483	70529	75192
484	70691	75064
485	70841	74923
486	70971	74760
487	71075	74571
488	71228	74432
489	71366	74279
490	71539	74161
491	71711	74043
492	71854	73894
493	72012	73762
494	72160	73618
495	72253	73419
496	72407	73281
497	72500	73082
498	72577	72868
499	72730	72730
500	72850	72559
501	72949	72368
502	73090	72218
503	73243	72080
504	73350	71898
505	73506	71763
506	73658	71624
507	73771	71447
508	73936	71321
509	74067	71163
510	74208	71014
511	74365	70879
512	74511	70735
513	74685	70617
514	74853	70493
515	75023	70371
516	75176	70232
517	75275	70044
518	75407	69886
519	75546	69735
520	75713	69610
521	75889	69492
522	76032	69344
523	76193	69213
524	76399	69122
525	76559	68990
526	76673	68817
527	76746	68606
528	76879	68449
529	76952	68241
530	77040	68045
531	77186	67901
532	77325	67750
533	77398	67542
534	77493	67353
535	77619	67192
536	77744	67030
537	77845	66848
538	77985	66700
539	78066	66501
540	78236	66378
541	78375	66228
542	78531	66093
543	78609	65893
544	78713	65714
545	78865	65577
546	79012	65434
547	79156	65289
548	79293	65139
549	79430	64988
550	79595	64861
551	79778	64748
552	79916	64598
553	80056	64449
554	80194	64299
555	80335	64152
556	80475	64004
557	80605	63848
558	80786	63732
559	80888	63555
560	80994	63380
561	81083	63193
562	81213	63038
563	81358	62894
564	81521	62764
565	81661	62616
566	81800	62468
567	81935	62317
568	82083	62175
569	82224	62028
570	82321	61849
571	82480	61716
572	82625	61572
573	82766	61426
574	82923	61291
575	83070	61149
576	83210	61002
577	83353	60856
578	83504	60717
579	83649	60573
580	83783	60422
581	83929	60279
582	84077	60137
583	84228	59998
584	84380	59859
585	84534	59722
586	84684	59581
587	84821	59432
588	84950	59277
589	85085	59127
590	85231	58984
591	85362	58831
592	85516	58693
593	85677	58560
594	85825	58418
595	85970	58275
596	86099	58120
597	86245	57977
598	86380	57827
599	86540	57693
600	86646	57523
601	86787	57377
602	86942	57240
603	87113	57114
604	87197	56930
605	87354	56794
606	87512	56659
607	87656	56515
608	87789	56364
609	87933	56219
610	88105	56093
611	88262	55957
612	88407	55813
613	88562	55675
614	88666	55506
615	88808	55360
616	88964	55224
617	89139	55099
618	89292	54960
619	89435	54815
620	89572	54666
621	89705	54515
622	89859	54377
623	89999	54230
624	90160	54096
625	90309	53954
626	90451	53809
627	90536	53629
628	90668	53478
629	90833	53346
630	91003	53217
631	91151	53075
632	91316	52943
633	91457	52797
634	91606	52655
635	91765	52519
636	91912	52377
637	92091	52252
638	92232	52106
639	92376	51962
640	92533	51824
641	92692	51688
642	92788	51517
643	92933	51373
644	93109	51246
645	93267	51109
646	93423	50971
647	93588	50838
648	93743	50699
649	93830	50524
650	93976	50380
651	94118	50235
652	94261	50089
653	94394	49939
654	94532	49791
655	94704	49661
656	94853	49520
657	94997	49375
658	95163	49242
659	95310	49099
660	95455	48955
661	95589	48805
662	95746	48667
663	95895	48525
664	96048	48385
665	96177	48233
666	96256	48055
667	96339	47881
668	96417	47704
669	96556	47557
670	96708	47417
671	96815	47255
672	96957	47110
673	97037	46935
674	97120	46761
675	97286	46628
676	97437	46487
677	97516	46313
678	97663	46170
679	97820	46033
680	97924	45870
681	98073	45729
682	98236	45594
683	98417	45467
684	98601	45342
685	98722	45188
686	98858	45040
687	98951	44873
688	99062	44714
689	99179	44559
690	99349	44426
691	99509	44290
692	99603	44124
693	99761	43986
694	99916	43848
695	99999	43677
696	100152	43538
697	100301	43396
698	100447	43254
699	100614	43120
700	100763	42978
701	100921	42841
702	101076	42702
703	101240	42566
704	101404	42431
705	101563	42294
706	101705	42149
707	101852	42007
708	102000	41864
709	102151	41723
710	102303	41583
711	102466	41447
712	102621	41307
713	102785	41171
714	102875	41006
715	103027	40865
716	103188	40728
717	103270	40560
718	103363	40396
719	103523	40259
720	103605	40091
721	103787	39962
722	103867	39794
723	104011	39650
724	104087	39481
725	104170	39315
726	104312	39171
727	104478	39035
728	104641	38899
729	104718	38731
730	104793	38562
731	104882	38399
732	104980	38239
733	105142	38103
734	105262	37951
735	105351	37789
736	105441	37627
737	105600	37489
738	105740	37345
739	105826	37182
740	106016	37055
741	106164	36914
742	106323	36776
743	106464	36632
744	106620	36494
745	106760	36349
746	106872	36196
747	106957	36033
748	107124	35898
749	107245	35748
750	107379	35602
751	107558	35471
752	107690	35324
753	107838	35183
754	107926	35022
755	108067	34878
756	108221	34739
757	108375	34600
758	108538	34463
759	108698	34325
760	108847	34184
761	108995	34043
762	109163	33907
763	109316	33767
764	109427	33614
765	109582	33475
766	109751	33340
767	109883	33194
768	110063	33062
769	110224	32924
770	110383	32785
771	110580	32658
772	110705	32509
773	110871	32373
774	111016	32230
775	111106	32071
776	111199	31914
777	111297	31758
778	111483	31627
779	111642	31488
780	111788	31346
781	111956	31210
782	112116	31071
783	112244	30924
784	112401	30785
785	112562	30646
786	112725	30508
787	112867	30365
788	113011	30222
789	113176	30084
790	113314	29940
791	113462	29798
792	113613	29657
793	113711	29502
794	113787	29341
795	113889	29187
796	114024	29042
797	114103	28883
798	114208	28730
799	114304	28576
800	114412	28424
801	114493	28266
802	114585	28111
803	114668	27954
804	114759	27798
805	114850	27644
806	114978	27497
807	115111	27353
808	115272	27215
809	115380	27064
810	115473	26910
811	115619	26768
812	115705	26613
813	115794	26459
814	115893	26307
815	115986	26153
816	116080	26000
817	116180	25849
818	116273	25696
819	116359	25542
820	116444	25387
821	116545	25237
822	116629	25083
823	116711	24928
824	116808	24777
825	116891	24623
826	116981	24471
827	117077	24320
828	117171	24169
829	117266	24018
830	117357	23866
831	117439	23713
832	117582	23572
833	117672	23421
834	117807	23279
835	117973	23143
836	118054	22990
837	118145	22839
838	118226	22687
839	118320	22537
840	118444	22393
841	118601	22255
842	118690	22104
843	118848	21967
844	118996	21827
845	119157	21690
846	119306	21551
847	119462	21413
848	119603	21272
849	119742	21130
850	119911	20995
851	120040	20852
852	120192	20713
853	120347	20574
854	120495	20434
855	120643	20295
856	120778	20153
857	120928	20013
858	121067	19872
859	121218	19733
860	121352	19591
861	121480	19448
862	121621	19307
863	121765	19166
864	121917	19027
865	122058	18886
866	122191	18744
867	122331	18603
868	122469	18461
869	122621	18322
870	122782	18184
871	122922	18043
872	123074	17904
873	123220	17764
874	123363	17623
875	123507	17482
876	123649	17341
877	123742	17194
878	123878	17052
879	124031	16913
880	124136	16767
881	124248	16622
882	124369	16479
883	124511	16338
884	124636	16195
885	124777	16054
886	124927	15915
887	125077	15775
888	125206	15633
889	125357	15493
890	125507	15353
891	125644	15212
892	125791	15072
893	125939	14932
894	126079	14791
895	126226	14651
896	126368	14510
897	126517	14370
898	126631	14226
899	126787	14087
900	126928	13946
901	127066	13805
902	127198	13663
903	127355	13524
904	127483	13382
905	127645	13243
906	127778	13101
907	127934	12962
908	128090	12823
909	128227	12681
910	128369	12541
911	128505	12399
912	128631	12257
913	128783	12117
914	128941	11978
915	129057	11834
916	129203	11694
917	129361	11555
918	129510	11414
919	129641	11273
920	129788	11132
921	129952	10993
922	130114	10854
923	130253	10713
924	130387	10571
925	130540	10431
926	130687	10291
927	130842	10151
928	130991	10011
929	131133	9870
930	131294	9730
931	131449	9590
932	131615	9451
933	131738	9309
934	131891	9168
935	131968	9023
936	132121	8883
937	132277	8743
938	132450	8604
939	132594	8463
940	132733	8322
941	132854	8180
942	133003	8039
943	133166	7899
944	133314	7759
945	133405	7615
946	133565	7475
947	133652	7331
948	133789	7189
949	133932	7049
950	134098	6909
951	134269	6769
952	134444	6630
953	134605	6490
954	134752	6349
955	134898	6208
956	135030	6067
957	135181	5926
958	135332	5785
959	135501	5645
960	135686	5506
961	135832	5365
962	135982	5224
963	136130	5083
964	136287	4943
965	136419	4801
966	136550	4659
967	136704	4519
968	136856	4378
969	137005	4237
970	137175	4096
971	137314	3955
972	137473	3814
973	137598	3673
974	137756	3532
975	137895	3390
976	138060	3250
977	138173	3108
978	138323	2967
979	138456	2825
980	138606	2684
981	138738	2543
982	138891	2401
983	138997	2260
984	139145	2118
985	139303	1977
986	139436	1836
987	139575	1695
988	139727	1554
989	139870	1412
990	140021	1271
991	140184	1130
992	140329	989
993	140444	847
994	140587	706
995	140734	565
996	140907	423
997	141005	282
998	141145	141
999	141271	0
