iter	RMSE
232	1467288.82
233	1467278.915
234	1467131.33
235	1466541.046
236	1458520.029
237	1458439.046
238	1458295.076
239	1458193.701
240	1457239.744
241	1457164.771
242	1457122.679
243	1455482.062
244	1455309.723
245	1455163.781
246	1455105.149
247	1454970.987
248	1454847.222
249	1453982.25
250	1453193.197
251	1453184.66
252	1448887.253
253	1425170.555
254	1424476.354
255	1423840.119
256	1423137.852
257	1400217
258	1400122.106
259	1399923.796
260	1399618.639
261	1399608.721
262	1399222.167
263	1399063.659
264	1399042.113
265	1398339.918
266	1398330.734
267	1397715.465
268	1397635.394
269	1397107.834
270	1395889.186
271	1395870.62
272	1395310.525
273	1395184.331
274	1390352.109
275	1390312.88
276	1388819.397
277	1388313.573
278	1387311.685
279	1387180.301
280	1387172.884
281	1386732.733
282	1386455.954
283	1386439.781
284	1386188.179
285	1385321.167
286	1385207.106
287	1384647.645
288	1384640.602
289	1384547.004
290	1384346.185
291	1383971.742
292	1383004.688
293	1382946.004
294	1382812.823
295	1382686.171
296	1382588.82
297	1382378.352
298	1378170.336
299	1377821.5
300	1377588.067
301	1377568.573
302	1377414.696
303	1377341.727
304	1377023.184
305	1376269.405
306	1376207.091
307	1375926.772
308	1375832.315
309	1375810.011
310	1375726.398
311	1375471.541
312	1352309.723
313	1331142.092
314	1330987.584
315	1330370.995
316	1330276.334
317	1330253.771
318	1330220
319	1329996.514
320	1329440.478
321	1329306.305
322	1329159.902
323	1328687.701
324	1328208.866
325	1328128.96
326	1328108.453
327	1328034.631
328	1323683.881
329	1323617.7
330	1323589.607
331	1323527.937
332	1323395.01
333	1323348.098
334	1323329.221
335	1322853.338
336	1322431.87
337	1322353.282
338	1301936.282
339	1301464.235
340	1301402.338
341	1301344.949
342	1301291.597
343	1300663.893
344	1300611.232
345	1300569.66
346	1300465.58
347	1300361.942
348	1300344.496
349	1297707.335
350	1294158.64
351	1292825.351
352	1292726.479
353	1290738.626
354	1290677.367
355	1290292.254
356	1290267.583
357	1287212.748
358	1287170.787
359	1287078.651
360	1286899.254
361	1286729.062
362	1286692.227
363	1286195.372
364	1266893.752
365	1266828.913
366	1266409.621
367	1266382.49
368	1266375.496
369	1263402.125
370	1263237.849
371	1261174.089
372	1261028.829
373	1260895.259
374	1260778.865
375	1260759.288
376	1238814.917
377	1238401.216
378	1238315.383
379	1238245.981
380	1238014.79
381	1226475.744
382	1226388.097
383	1209020.484
384	1206046.134
385	1205643.212
386	1205626.082
387	1205494.195
388	1205412.317
389	1205389.311
390	1204687.324
391	1204316.09
392	1204268.14
393	1204066.076
394	1187528.552
395	1187502.522
396	1187466.121
397	1187150.369
398	1187096.168
399	1186976.18
400	1186931.497
401	1186892.939
402	1186827.027
403	1186799.642
404	1186723.634
405	1186708.089
406	1186339.854
407	1186333.158
408	1186273.255
409	1186247.714
410	1186214.847
411	1186151.679
412	1183140.795
413	1183023.654
414	1177193.102
415	1177157.3
416	1176943.57
417	1176616.603
418	1176576.637
419	1176220.608
420	1176165.865
421	1175998.912
422	1175897.928
423	1173140.842
424	1172997.462
425	1157389.037
426	1157242.691
427	1157237.99
428	1157206.375
429	1157016.212
430	1156897.557
431	1156830.286
432	1152887.177
433	1152687.297
434	1152500.216
435	1152495.958
436	1152484.612
437	1152400.688
438	1152374.465
439	1140329.456
440	1138308.948
441	1138106.414
442	1120659.748
443	1120438.79
444	1120399.333
445	1120194.384
446	1120118.679
447	1120083.238
448	1120014.91
449	1119571.268
450	1119492.593
451	1119460.743
452	1119404.094
453	1119373.847
454	1119283.128
455	1119271.249
456	1119219.557
457	1119190.904
458	1119035.837
459	1118990.175
460	1117834.675
461	1117682.728
462	1117655.491
463	1117608.179
464	1117564.934
465	1117473.423
466	1117364.115
467	1115628.576
468	1115602.753
469	1115578.25
470	1115538.513
471	1115502.355
472	1115485.148
473	1115188.537
474	1115168.63
475	1101091.733
476	1101020.732
477	1089559.896
478	1089490.108
479	1089348.932
480	1086928.451
481	1086737.292
482	1086718.489
483	1086677.972
484	1086296.05
485	1085882.667
486	1085500.24
487	1072348.346
488	1072331.546
489	1072331.356
490	1072165.24
491	1057146.091
492	1057090.819
493	1057023.993
494	1056970.087
495	1056921.955
496	1056892.301
497	1056844.96
498	1056802.37
499	1056786.076
500	1056768.591
501	1056752.081
502	1054665.912
503	1054633.401
504	1054618.473
505	1054564.389
506	1054530.922
507	1054497.549
508	1053976.808
509	1039213.448
510	1039179.224
511	1039165.472
512	1039113.796
513	1038475.64
514	1030119.01
515	1028843.428
516	1028843.246
517	1028271.833
518	1028038.042
519	1028021.983
520	1027979.835
521	1019783.747
522	1018275.98
523	1018123.292
524	1018087.257
525	1018047.974
526	1018030.965
527	1017889.027
528	1017864.301
529	1017842.653
530	1017823.635
531	1017713.726
532	1017639.035
533	1017624.507
534	1017492.503
535	1017396.728
536	1017365.216
537	1017350.199
538	1017332.175
539	1017315.087
540	1017264.565
541	1017191.055
542	1017076.49
543	1017062.439
544	1017037.165
545	1016968.745
546	1016294.908
547	1008506.84
548	1008268.309
549	1007461.581
550	1007449.418
551	1006758.2
552	1006745.299
553	1006717.607
554	1006236.526
555	1006179.432
556	1006169.787
557	1006157.755
558	1005837.134
559	1005822.081
560	1005807.801
561	1005799.948
562	1005746.485
563	1005561.514
564	1005504.081
565	1003780.473
566	1003685.69
567	1003214.969
568	1003120.007
569	991792.2689
570	991765.6744
571	991703.6487
572	991660.6495
573	984625.5043
574	984583.586
575	984313.4826
576	984268.3945
577	983808.2748
578	983751.735
579	983744.9313
580	983365.0807
581	983019.0187
582	982653.431
583	982609.1133
584	982059.1842
585	981434.873
586	981180.2962
587	974256.2273
588	974081.4351
589	974046.612
590	963540.941
591	963380.6969
592	963338.973
593	963273.3492
594	950291.1545
595	950255.0025
596	950211.6968
597	949691.3358
598	949619.0748
599	949398.3674
600	949073.0369
601	949059.7359
602	949003.1154
603	939217.5987
604	939184.4549
605	938983.7531
606	938956.6356
607	938727.4149
608	938403.1193
609	938341.8887
610	938330.0887
611	938323.5093
612	938016.7892
613	937952.8994
614	937950.6248
615	937920.3866
616	937753.0615
617	934243.598
618	933233.4557
619	920551.8145
620	919673.5366
621	919662.1963
622	919597.5481
623	919546.3928
624	919452.7899
625	919365.1185
626	919358.2735
627	919350.4928
628	914532.8846
629	914520.0347
630	914498.1116
631	912783.4651
632	912713.0312
633	912690.0775
634	912668.2671
635	912456.9219
636	912424.7841
637	912391.2633
638	911931.1341
639	911870.6287
640	911869.4614
641	911804.9984
642	911746.0254
643	911740.1437
644	902917.1052
645	902787.7738
646	902227.9857
647	902185.0312
648	902107.0108
649	901980.414
650	901959.4172
651	901940.3503
652	901929.7305
653	901870.2973
654	890253.6898
655	889972.1393
656	889710.4604
657	889703.5618
658	889632.0075
659	889505.2541
660	889409.2463
661	889176.1053
662	888901.9636
663	888465.1843
664	888389.5093
665	888137.138
666	887908.0406
667	887700.1006
668	887510.9754
669	887468.7303
670	887410.4114
671	887238.3769
672	887172.2484
673	887015.8999
674	886885.7523
675	886859.1388
676	886809.2454
677	886675.7935
678	886637.1373
679	886582.2874
680	886472.2856
681	886333.3107
682	886282.7505
683	886067.4422
684	885995.7894
685	885981.2801
686	884691.0201
687	884583.1906
688	884525.8826
689	884470.7411
690	882403.4866
691	882357.3326
692	882270.9795
693	881825.5129
694	881757.1041
695	881658.1039
696	881496.5803
697	881478.2887
698	881447.5105
699	879000.0657
700	878981.2523
701	878609.056
702	878588.9836
703	878551.1724
704	878368.6395
705	878312.9393
706	877658.4083
707	877609.9433
708	877125.3807
709	877043.9335
710	877021.8256
711	876862.6858
712	876464.1811
713	876423.4536
714	876385.8191
715	876315.0505
716	876246.6706
717	876192.8447
718	876127.5167
719	876101.2711
720	876047.342
721	876038.3416
722	875996.9441
723	875808.6139
724	875770.2555
725	875720.1795
726	875710.343
727	875665.4141
728	875598.5024
729	875428.4366
730	875269.8868
731	875261.7157
732	875223.3953
733	875162.8549
734	875103.9876
735	875062.6143
736	874918.1721
737	874895.3909
738	874760.6385
739	874736.5077
740	874599.7063
741	874573.3622
742	874560.2552
743	874560.0898
744	874542.1073
745	873700.4177
746	873578.0642
747	873463.7562
748	873402.0267
749	873320.6207
750	873278.6418
751	873258.015
752	873152.8786
753	873028.0684
754	873010.0526
755	871910.4238
756	870986.7574
757	870970.1747
758	870934.9019
759	870926.7398
760	870846.4688
761	863138.7877
762	863131.4814
763	863107.3709
764	861946.6599
765	853433.8356
766	853161.3265
767	852673.6569
768	852657.28
769	852635.3272
770	852453.1114
771	852437.8732
772	852430.8118
773	852411.7831
774	852364.5434
775	852358.0831
776	852352.0135
777	852335.6803
778	852311.1569
779	852264.7155
780	852247.645
781	852244.5096
782	846712.5897
783	846610.1065
784	846333.8708
785	846265.3868
786	846210.4808
787	846164.688
788	846094.7583
789	846088.971
790	845615.1066
791	845593.164
792	845582.8645
793	845560.5778
794	845551.175
795	845541.8757
796	845499.9714
797	845461.8874
798	845442.2716
799	845434.6438
800	845430.2226
801	845422.3677
802	845386.2713
803	845353.4288
804	845322.6619
805	845293.7863
806	845252.7721
807	845225.658
808	845187.6431
809	845183.9626
810	845158.2111
811	845132.7535
812	845097.5878
813	845075.3474
814	845051.3389
815	845028.707
816	845012.7811
817	844973.9225
818	844941.277
819	844936.7138
820	844916.588
821	844897.584
822	844867.2255
823	844849.269
824	844820.896
825	844794.3357
826	844777.351
827	844763.2845
828	844727.7017
829	844687.7738
830	844675.307
831	844654.7399
832	844441.8435
833	844423.9032
834	844370.1423
835	844070.104
836	844055.4143
837	844040.9891
838	844027.3558
839	843993.9869
840	843936.3338
841	843917.3561
842	843866.389
843	843859.1409
844	843809.2284
845	843769.3279
846	838429.3319
847	838397.9276
848	838353.3163
849	835103.4975
850	834875.9571
851	834835.9274
852	834801.6021
853	834754.8052
854	834652.5962
855	834652.0354
856	834180.165
857	833766.2445
858	833673.9568
859	832273.2616
860	831916.1649
861	831768.8939
862	831320.2597
863	831175.3803
864	831135.6367
865	830405.2409
866	825522.2705
867	825287.1145
868	825274.2
869	825181.5381
870	825130.3835
871	824465.8943
872	824463.4718
873	824339.3602
874	821949.2985
875	821905.4563
876	821903.5038
877	821897.2433
878	821846.2181
879	821740.9363
880	821734.8688
881	821694.7441
882	821340.3089
883	821100.6052
884	821056.3539
885	819582.1216
886	819568.7775
887	819557.8166
888	819545.3444
889	817665
890	817604.2261
891	817603.8999
892	817324.7184
893	817237.1129
894	817159.3331
895	814882.4721
896	810363.3496
897	810346.895
898	810317.4304
899	810139.2575
900	810093.8795
901	810082.6785
902	809952.2347
903	809919.7557
904	809793.4996
905	809761.6199
906	809728.7058
907	809614.5182
908	809533.494
909	809525.6324
910	809449.6066
911	809427.1709
912	809415.6851
913	809131.7533
914	809062.166
915	809024.065
916	808946.95
917	808902.358
918	808145.3992
919	808107.7612
920	801811.0572
921	801802.4773
922	798182.9514
923	798142.6178
924	798094.1553
925	796474.3622
926	796414.7282
927	796386.5904
928	794189.78
929	794119.5116
930	794101.8841
931	793830.3057
932	793813.9845
933	793160.4545
934	793126.3284
935	792556.5337
936	791768.7379
937	791742.6523
938	791728.6059
939	791687.9298
940	791604.505
941	791168.6549
942	791105.0396
943	791094.4675
944	791078.232
945	791063.3074
946	791037.7509
947	790575.4863
948	790570.1849
949	790555.6788
950	790397.3203
951	790187.7025
952	790146.0589
953	789953.9881
954	789937.9903
955	789867.8882
956	789577.1325
957	789451.7449
958	789286.1211
959	789201.2335
960	789162.1635
961	789085.6566
962	788978.955
963	788909.5433
964	788862.1182
965	784864.7654
966	784833.8831
967	784112.1573
968	783986.9992
969	783776.1123
970	783747.528
971	783473.8162
972	783424.9534
973	783402.2126
974	783398.0563
975	783340.0773
976	783296.9418
977	783253.5359
978	783243.5178
979	783178.0624
980	783102.4426
981	782996.8515
982	782840.0049
983	782602.3601
984	782590.7962
985	782524.914
986	782465.6451
987	782393.6449
988	782364.4209
989	782207.0305
990	782142.1007
991	782084.7676
992	782046.9229
993	781250.5879
994	780915.2236
995	780828.5403
996	780820.5948
997	780765.0641
998	780329.1122
999	780326.1674
