iter	Logloss
0	0.6870822018
1	0.6805137941
2	0.6739892047
3	0.6677556508
4	0.6621603667
5	0.6562824576
6	0.6511746578
7	0.6461702614
8	0.6414369036
9	0.635654275
10	0.6317887391
11	0.6271037347
12	0.6219708298
13	0.6179775813
14	0.6132800307
15	0.6085935464
16	0.6044786024
17	0.599646145
18	0.5956860252
19	0.5914210808
20	0.5877303913
21	0.5831611174
22	0.5804501754
23	0.5772844326
24	0.5735427026
25	0.5698669231
26	0.5668326574
27	0.5629165416
28	0.5593994818
29	0.5563210059
30	0.5530106115
31	0.5512763703
32	0.5473203277
33	0.5432613434
34	0.5402781131
35	0.537769064
36	0.5353377145
37	0.5321290038
38	0.5293916444
39	0.526772795
40	0.5237060564
41	0.5209598226
42	0.5177549221
43	0.5149972647
44	0.5125069916
45	0.5103423255
46	0.5076919985
47	0.504838361
48	0.5023538607
49	0.4999054743
50	0.4980526911
51	0.4961564826
52	0.4941629632
53	0.4918851035
54	0.4899923511
55	0.4881897051
56	0.4859337704
57	0.4831575907
58	0.4814758007
59	0.479700022
60	0.4779382563
61	0.4771084801
62	0.4747857006
63	0.47385378
64	0.4720867292
65	0.4704379082
66	0.4686764529
67	0.4667521123
68	0.4649581028
69	0.4631479807
70	0.4613330927
71	0.4596130844
72	0.4582236677
73	0.4565037262
74	0.4546203027
75	0.4530166868
76	0.4519778671
77	0.4512635906
78	0.4502171036
79	0.4486121505
80	0.4468630971
81	0.4456069714
82	0.4438864057
83	0.4421949024
84	0.4408153585
85	0.4400369594
86	0.4395814784
87	0.437955274
88	0.4365543279
89	0.4355779144
90	0.4350700787
91	0.4337558191
92	0.4321890176
93	0.4311972865
94	0.4299776424
95	0.4288971135
96	0.4279215409
97	0.4267016209
98	0.4257462897
99	0.4246803852
100	0.4236637654
101	0.4230396598
102	0.4221749239
103	0.4210129831
104	0.4198237584
105	0.4188359168
106	0.4175006238
107	0.4165561831
108	0.4156104133
109	0.4147941463
110	0.4142234347
